BOROUGH,LATITUDE,LONGITUDE,NTA
MANHATTAN,40.705308,-74.004873,Battery Park City-Lower Manhattan
MANHATTAN,40.760561,-73.960336,Lenox Hill-Roosevelt Island
BRONX,40.857427,-73.847079,Pelham Parkway
MANHATTAN,40.752295,-73.993402,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.739395,-73.992083,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.742148,-73.998614,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.849356,-73.88899,East Tremont
MANHATTAN,40.747469,-73.984344,Midtown-Midtown South
MANHATTAN,40.71147,-73.995502,Chinatown
BROOKLYN,40.579117,-73.97628,West Brighton
MANHATTAN,40.737804,-73.982748,Gramercy
BROOKLYN,40.685898,-73.917769,Ocean Hill
MANHATTAN,40.756157,-73.963761,Turtle Bay-East Midtown
MANHATTAN,40.752652,-73.994536,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.816384,-73.91885,Melrose South-Mott Haven North
MANHATTAN,40.753187,-73.987209,Midtown-Midtown South
MANHATTAN,40.794764,-73.96244,Upper West Side
MANHATTAN,40.745156,-73.9725,Turtle Bay-East Midtown
MANHATTAN,40.75555,-73.973979,Turtle Bay-East Midtown
MANHATTAN,40.717363,-74.006897,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.738906,-73.999415,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.770217,-73.959619,Lenox Hill-Roosevelt Island
MANHATTAN,40.768725,-73.96222,Upper East Side-Carnegie Hill
MANHATTAN,40.761574,-73.983962,Midtown-Midtown South
MANHATTAN,40.764149,-73.955251,Lenox Hill-Roosevelt Island
MANHATTAN,40.732503,-73.993249,West Village
MANHATTAN,40.793779,-73.963159,Upper West Side
MANHATTAN,40.753288,-73.99015,Midtown-Midtown South
MANHATTAN,40.739109,-73.989773,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.812475,-73.961931,Morningside Heights
MANHATTAN,40.737813,-73.988103,Gramercy
BROOKLYN,40.691958,-73.980152,Fort Greene
MANHATTAN,40.767516,-73.966903,Upper East Side-Carnegie Hill
BROOKLYN,40.671012,-73.906201,Brownsville
MANHATTAN,40.764127,-73.971034,Upper East Side-Carnegie Hill
MANHATTAN,40.757847,-73.985009,Midtown-Midtown South
MANHATTAN,40.788007,-73.976747,Upper West Side
MANHATTAN,40.756023,-73.974831,Midtown-Midtown South
MANHATTAN,40.747327,-73.991678,Midtown-Midtown South
BROOKLYN,40.575037,-73.994204,Seagate-Coney Island
MANHATTAN,40.716084,-74.001425,Chinatown
