borough;numfloors;LAT;LONG;coordinates 
BX;11.0;40.8463142;-73.834078;40.8463142, -73.834078
QN;20.0;40.7133082;-73.834961;40.7133082, -73.834961
QN;7.0;40.7045915;-73.835455;40.7045915, -73.835455
BX;9.0;40.8443439;-73.836284;40.8443439, -73.836284
QN;9.0;40.578421;-73.836889;40.578421, -73.836889
QN;12.0;40.720734;-73.837789;40.720734, -73.837789
QN;31.0;40.7202507;-73.839565;40.7202507, -73.839565
QN;10.0;40.7216078;-73.840442;40.7216078, -73.840442
QN;11.0;40.7224665;-73.848265;40.7224665, -73.848265
QN;9.0;40.7242029;-73.853781;40.7242029, -73.853781
BX;7.0;40.8992618;-73.854141;40.8992618, -73.854141
BX;7.0;40.8929363;-73.854871;40.8929363, -73.854871
BX;7.0;40.8744938;-73.856354;40.8744938, -73.856354
BX;21.0;40.8226792;-73.856372;40.8226792, -73.856372
QN;13.0;40.7292124;-73.858446;40.7292124, -73.858446
QN;7.0;40.7250434;-73.858729;40.7250434, -73.858729
QN;8.0;40.7400326;-73.858755;40.7400326, -73.858755
BX;7.0;40.8551784;-73.860054;40.8551784, -73.860054
QN;7.0;40.7273785;-73.860409;40.7273785, -73.860409
BX;21.0;40.824577;-73.861813;40.824577, -73.861813
BX;7.0;40.879428;-73.862462;40.879428, -73.862462
QN;16.0;40.7372155;-73.862521;40.7372155, -73.862521
QN;16.0;40.7352805;-73.862543;40.7352805, -73.862543
BX;7.0;40.8991294;-73.862555;40.8991294, -73.862555
QN;21.0;40.7331265;-73.863031;40.7331265, -73.863031
QN;16.0;40.7369449;-73.863402;40.7369449, -73.863402
BX;7.0;40.853824;-73.863603;40.853824, -73.863603
BX;7.0;40.8651297;-73.863822;40.8651297, -73.863822
BX;8.0;40.8813082;-73.864881;40.8813082, -73.864881
BX;14.0;40.8237056;-73.865381;40.8237056, -73.865381
BK;20.0;40.6728795;-73.865945;40.6728795, -73.865945
BX;20.0;40.8620005;-73.865947;40.8620005, -73.865947
